                      OLS Regression Results                     
Dep. Variable:   ,y               ,  R-squared:         ,   0.502
Model:           ,OLS             ,  Adj. R-squared:    ,   0.498
Method:          ,Least Squares   ,  F-statistic:       ,   114.1
Date:            ,Sat, 10 Mar 2018,  Prob (F-statistic):,2.67e-83
Time:            ,15:46:51        ,  Log-Likelihood:    , -4742.2
No. Observations:,   571          ,  AIC:               ,   9494.
Df Residuals:    ,   566          ,  BIC:               ,   9516.
Df Model:        ,     5          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
  ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1,   -0.0002, 8.55e-05,   -2.018, 0.044,   -0.000,-4.61e-06
x2, 1.054e-05,    0.000,    0.065, 0.948,   -0.000,    0.000
x3,    1.2300,    0.171,    7.213, 0.000,    0.895,    1.565
x4,   -0.1307,    0.044,   -2.948, 0.003,   -0.218,   -0.044
x5,    9.8854,    3.358,    2.944, 0.003,    3.290,   16.481
Omnibus:      ,900.597,  Durbin-Watson:     ,   2.218  
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,751590.465
Skew:         , 8.584 ,  Prob(JB):          ,    0.00  
Kurtosis:     ,179.906,  Cond. No.          ,2.35e+05  
