                      OLS Regression Results                     
Dep. Variable:   ,y               ,  R-squared:         ,   0.640
Model:           ,OLS             ,  Adj. R-squared:    ,   0.636
Method:          ,Least Squares   ,  F-statistic:       ,   156.8
Date:            ,Sun, 11 Mar 2018,  Prob (F-statistic):,1.85e-95
Time:            ,16:28:59        ,  Log-Likelihood:    , -3017.4
No. Observations:,   446          ,  AIC:               ,   6045.
Df Residuals:    ,   441          ,  BIC:               ,   6065.
Df Model:        ,     5          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
  ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1,    0.0003,    0.000,    1.130, 0.259,   -0.000,    0.001
x2,   -0.0004,    0.000,   -1.718, 0.086,   -0.001, 5.57e-05
x3,   -0.0750,    0.290,   -0.259, 0.796,   -0.645,    0.495
x4,    0.4944,    0.254,    1.946, 0.052,   -0.005,    0.994
x5,    0.8059,    0.776,    1.039, 0.299,   -0.719,    2.331
Omnibus:      ,367.468,  Durbin-Watson:     ,   1.950  
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,138928.429
Skew:         , 2.406 ,  Prob(JB):          ,    0.00  
Kurtosis:     ,89.330 ,  Cond. No.          ,3.69e+04  
