                      OLS Regression Results                      
Dep. Variable:   ,y               ,  R-squared:         ,   0.753 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.744 
Method:          ,Least Squares   ,  F-statistic:       ,   85.80 
Date:            ,Fri, 09 Mar 2018,  Prob (F-statistic):,3.27e-156
Time:            ,19:47:55        ,  Log-Likelihood:    , -5321.9 
No. Observations:,   583          ,  AIC:               ,1.068e+04
Df Residuals:    ,   563          ,  BIC:               ,1.077e+04
Df Model:        ,    20          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1 ,   -0.0002, 3.94e-05,   -6.255, 0.000,   -0.000,   -0.000
x2 ,    0.0004,    0.000,    3.976, 0.000,    0.000,    0.001
x3 ,    0.1458,    0.090,    1.629, 0.104,   -0.030,    0.322
x4 ,    0.0195,    0.056,    0.350, 0.727,   -0.090,    0.129
x5 ,   -1.0199,   20.086,   -0.051, 0.960,  -40.473,   38.433
x6 ,    0.0003, 4.48e-05,    7.642, 0.000,    0.000,    0.000
x7 ,   -0.0005,    0.000,   -4.947, 0.000,   -0.001,   -0.000
x8 ,   -0.1409,    0.104,   -1.361, 0.174,   -0.344,    0.062
x9 ,    0.1933,    0.072,    2.673, 0.008,    0.051,    0.335
x10,   -6.9334,   27.365,   -0.253, 0.800,  -60.684,   46.817
x11,   -0.0002,  4.3e-05,   -5.680, 0.000,   -0.000,   -0.000
x12,    0.0004,    0.000,    3.770, 0.000,    0.000,    0.001
x13,    0.0745,    0.102,    0.731, 0.465,   -0.126,    0.275
x14,   -0.2100,    0.077,   -2.725, 0.007,   -0.361,   -0.059
x15,    6.6903,   27.547,    0.243, 0.808,  -47.418,   60.798
x16, 2.053e-05, 3.78e-05,    0.543, 0.588,-5.38e-05, 9.48e-05
x17, 3.209e-05,    0.000,    0.313, 0.754,   -0.000,    0.000
x18,    0.8597,    0.091,    9.402, 0.000,    0.680,    1.039
x19,    0.0732,    0.077,    0.954, 0.341,   -0.078,    0.224
x20,    6.2951,   20.891,    0.301, 0.763,  -34.739,   47.329
Omnibus:      ,1048.066,  Durbin-Watson:     ,   2.064   
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,1104104.103
Skew:         ,11.351  ,  Prob(JB):          ,    0.00   
Kurtosis:     ,214.982 ,  Cond. No.          ,6.43e+06   
